Rk,Player,Age,Team,Pos,G,GS,Rushing Att,Rushing Yds,Rushing 1D,Rushing YBC,Rushing YBC/Att,Rushing YAC,Rushing YAC/Att,Rushing BrkTkl,Rushing Att/Br,Awards,-additional -9999
243,Davis Mills,26,HOU,QB,4,0,3,11,1,9,3.0,2,0.7,0,,,MillDa02
244,Nick Mullens,29,MIN,QB,4,0,3,-2,0,-2,-0.7,0,0.0,0,,,MullNi00
245,Jalen Nailor,25,MIN,WR,17,7,3,-4,1,-5,-1.7,1,0.3,0,,,NailJa00
246,Rome Odunze,22,CHI,WR,17,12,3,15,1,6,2.0,9,3.0,0,,,OdunRo00
247,Ricky Pearsall,24,SFO,WR,11,4,3,45,1,44,14.7,1,0.3,0,,,PearRi00
248,Jalen Reagor,25,LAC,WR,8,2,3,-3,0,-4,-1.3,1,0.3,0,,,ReagJa00
249,Wan'Dale Robinson,23,NYG,WR,17,7,3,18,1,3,1.0,15,5.0,0,,,RobiWa01
250,Tyrod Taylor,35,NYJ,QB,2,0,3,13,0,8,2.7,5,1.7,1,3.0,,TaylTy00
251,Carson Wentz,32,KAN,QB,3,1,3,0,0,-1,-0.3,1,0.3,0,,,WentCa00
254,Tutu Atwell,25,LAR,WR,17,5,2,7,0,6,3.0,1,0.5,0,,,AtweTu00
255,Jake Browning,28,CIN,QB,3,0,2,-2,0,-2,-1.0,0,0.0,0,,,BrowJa08
256,Treylon Burks,24,TEN,WR,5,2,2,1,0,-5,-2.5,6,3.0,1,2.0,,BurkTr00
257,Malachi Corley,22,NYJ,WR,9,1,2,26,1,26,13.0,0,0.0,0,,,CorlMa00
258,Troy Franklin,21,DEN,WR,16,6,2,8,0,6,3.0,2,1.0,0,,,FranTr00
259,Jimmy Garoppolo,33,LAR,QB,1,1,2,5,0,5,2.5,0,0.0,0,,,GaroJi00
260,C.J. Ham,31,MIN,FB,17,3,2,10,1,8,4.0,2,1.0,0,,,HamxC.00
261,Taylor Heinicke,31,LAC,QB,4,0,2,20,1,20,10.0,0,0.0,0,,,HeinTa00
262,Diontae Johnson,28,CAR,WR,7,7,2,6,1,6,3.0,0,0.0,0,,,JohnDi01
263,Kameron Johnson,22,TAM,WR,5,0,2,11,1,10,5.0,1,0.5,0,,,JohnKa01
264,Cooper Kupp,31,LAR,WR,12,11,2,10,1,9,4.5,1,0.5,0,,,KuppCo00
265,Tyreik McAllister,26,LVR,WR,3,0,2,11,1,9,4.5,2,1.0,0,,,McAlTy00
266,Terry McLaurin,29,WAS,WR,17,17,2,2,0,2,1.0,0,0.0,0,,PBAP-2,McLaTe00
267,Jakobi Meyers,28,LVR,WR,15,15,2,23,1,10,5.0,13,6.5,0,,,MeyeJa01
268,Jonathan Mingo,23,CAR,WR,9,5,2,5,0,4,2.0,1,0.5,0,,,MingJo00
269,George Pickens,23,PIT,WR,14,12,2,-6,0,-8,-4.0,2,1.0,0,,,PickGe00
270,Kalif Raymond,30,DET,WR,12,2,2,0,1,-3,-1.5,3,1.5,0,,AP-2,RaymKa00
271,Khalil Shakir,24,BUF,WR,15,9,2,4,0,1,0.5,3,1.5,1,2.0,,ShakKh00
272,Darius Slayton,27,NYG,WR,16,13,2,17,1,12,6.0,5,2.5,0,,,SlayDa01
273,Ainias Smith,23,PHI,WR,7,1,2,6,1,4,2.0,2,1.0,0,,,SmitAi00
274,Jonnu Smith,29,MIA,TE,17,6,2,-1,0,-1,-0.5,0,0.0,0,,PB,SmitJo01
275,Amon-Ra St. Brown,25,DET,WR,17,17,2,6,1,4,2.0,2,1.0,0,,PBAP-1AP OPoY-11,StxxAm00
276,Deven Thompkins,25,CAR,WR,7,0,2,7,0,5,2.5,2,1.0,0,,,ThomDe07
277,Kadarius Toney,25,CLE,WR,3,0,2,-4,0,-7,-3.5,3,1.5,1,2.0,,ToneKa00
278,Ke'Shawn Vaughn,27,SFO,RB,3,0,2,4,0,2,1.0,2,1.0,0,,,VaugKe00
279,Jordan Whittington,24,LAR,WR,15,3,2,12,2,9,4.5,3,1.5,1,2.0,,WhitJo04
280,Garrett Wilson,24,NYJ,WR,17,17,2,5,1,0,0.0,5,2.5,1,2.0,,WilsGa00
281,Bailey Zappe,25,CLE,QB,1,1,2,2,0,2,1.0,0,0.0,0,,,ZappBa00
282,Kevin Austin,24,NOR,WR,8,2,1,9,0,8,8.0,1,1.0,0,,,AustKe00
283,Jake Bailey,27,MIA,P,17,0,1,0,0,0,0.0,0,0.0,0,,,BailJa00
284,Dane Belton,24,NYG,S,17,6,1,10,1,10,10.0,0,0.0,0,,,BeltDa00
285,Kendrick Bourne,29,NWE,WR,12,9,1,6,1,3,3.0,3,3.0,0,,,BourKe00
286,Tyler Boyd,30,TEN,WR,16,8,1,3,1,2,2.0,1,1.0,0,,,BoydTy00
287,British Brooks,25,HOU,RB,5,0,1,2,0,1,1.0,1,1.0,0,,,BrooBr01
288,Keon Coleman,21,BUF,WR,13,12,1,9,0,8,8.0,1,1.0,0,,,ColeKe02
289,Tyler Conklin,29,NYJ,TE,16,15,1,0,0,0,0.0,0,0.0,0,,,ConkTy00
290,Jacob Cowing,23,SFO,WR,15,0,1,7,0,5,5.0,2,2.0,0,,,CowiJa00
291,Ashtyn Davis,28,NYJ,S,15,1,1,21,1,0,0.0,21,21.0,0,,,DaviAs00
292,Jahan Dotson,24,PHI,WR,17,6,1,13,1,13,13.0,0,0.0,0,,,DotsJa00
293,Josh Downs,23,IND,WR,14,8,1,12,0,12,12.0,0,0.0,0,,,DownJo00
294,Xavier Gipson,23,NYJ,WR,17,0,1,5,1,0,0.0,5,5.0,1,1.0,,GipsXa00
295,Chris Godwin,28,TAM,WR,7,7,1,2,1,1,1.0,1,1.0,0,,,GodwCh00
296,Noah Gray,25,KAN,TE,17,10,1,-4,0,-4,-4.0,0,0.0,0,,,GrayNo00
297,Matthew Hayball,27,NOR,P,17,0,1,11,1,11,11.0,0,0.0,0,,,HaybMa00
298,Jaden Hicks,22,KAN,DB,17,1,1,1,0,0,0.0,1,1.0,0,,,HickJa01
299,Sam Howell,24,SEA,QB,2,0,1,2,0,0,0.0,2,2.0,1,1.0,,HoweSa00
300,Tanner Hudson,30,CIN,TE,11,0,1,1,1,0,0.0,1,1.0,0,,,HudsTa00
301,Jermaine Jackson,24,NOR,WR,4,0,1,-1,0,-1,-1.0,0,0.0,0,,,JackJe01
302,Jha'Quan Jackson,24,TEN,WR,12,0,1,-5,0,-5,-5.0,0,0.0,0,,,JackJh00
303,Justin Jefferson,25,MIN,WR,17,17,1,3,0,3,3.0,0,0.0,0,,PBAP-1AP OPoY-7,JeffJu00
304,Marcus Jones,26,NWE,CB,14,9,1,5,0,5,5.0,0,0.0,0,,,JoneMa06
305,Travis Kelce,35,KAN,TE,16,16,1,1,0,0,0.0,1,1.0,0,,PB,KelcTr00
306,Joshua Kelley,27,TEN,RB,3,0,1,2,0,2,2.0,0,0.0,0,,,KellJo01
307,Charlie Kolar,25,BAL,TE,13,3,1,2,1,2,2.0,0,0.0,0,,,KolaCh00
308,Dylan Laube,25,LVR,RB,10,0,1,0,0,0,0.0,0,0.0,0,,,LaubDy00
309,Drake London,23,ATL,WR,17,17,1,-3,0,-3,-3.0,0,0.0,0,,,LondDr00
310,Julian Love,26,SEA,FS,17,17,1,2,1,0,0.0,2,2.0,0,,,LoveJu00
311,Trey McBride,25,ARI,TE,16,16,1,2,1,0,0.0,2,2.0,0,,PB,McBrTr01
312,David Moore,29,CAR,WR,17,5,1,0,0,0,0.0,0,0.0,0,,,MoorDa03
313,Elijah Moore,24,CLE,WR,17,13,1,1,0,1,1.0,0,0.0,0,,,MoorEl00
314,Chigoziem Okonkwo,25,TEN,TE,17,11,1,17,1,14,14.0,3,3.0,0,,,OkonCh00
315,Chris Oladokun,27,KAN,QB,1,0,1,5,0,5,5.0,0,0.0,0,,,OladCh00
316,Chris Olave,24,NOR,WR,8,8,1,7,1,7,7.0,0,0.0,0,,,OlavCh00
317,Cade Otton,25,TAM,TE,14,14,1,-4,0,-4,-4.0,0,0.0,1,1.0,,OttoCa00
318,Dell Pettus,23,NWE,S,17,1,1,2,1,2,2.0,0,0.0,0,,,PettDe00
319,Ja'Lynn Polk,22,NWE,WR,15,7,1,0,0,0,0.0,0,0.0,0,,,PolkJa00
320,Jalen Reeves-Maybin,29,DET,LB,10,0,1,1,0,1,1.0,0,0.0,0,,,ReevJa00
321,Rashee Rice,24,KAN,WR,4,4,1,1,1,0,0.0,1,1.0,0,,,RiceRa01
322,Drew Sample,28,CIN,TE,17,15,1,-4,0,-4,-4.0,0,0.0,0,,,SampDr00
323,Cody Schrader,25,LAR,RB,1,0,1,3,0,3,3.0,0,0.0,0,,,SchrCo00
324,JK Scott,29,LAC,P,17,0,1,0,0,0,0.0,0,0.0,0,,,ScotJK00
325,Laviska Shenault Jr.,26,SEA,WR,11,1,1,1,0,0,0.0,1,1.0,0,,,ShenLa00
326,Steven Sims,27,HOU,WR,7,0,1,0,0,0,0.0,0,0.0,0,,,SimsSt00
327,DeVonta Smith,26,PHI,WR,13,13,1,1,0,0,0.0,1,1.0,0,,,SmitDe07
328,Tavierre Thomas,28,TAM,CB,17,0,1,-2,0,-2,-2.0,0,0.0,0,,,ThomTa01
329,Skylar Thompson,27,MIA,QB,3,1,1,4,0,4,4.0,0,0.0,0,,,ThomSk00
330,Cedric Tillman,24,CLE,WR,11,6,1,-5,0,-5,-5.0,0,0.0,0,,,TillCe01
331,Marquez Valdes-Scantling,30,NOR,WR,8,8,1,4,0,4,4.0,0,0.0,0,,,ValdMa00
332,Michael Wilson,24,ARI,WR,16,13,1,7,0,4,4.0,3,3.0,0,,,WilsMi02
333,Olamide Zaccheaus,27,WAS,WR,17,6,1,8,1,4,4.0,4,4.0,0,,,ZaccOl01
,League Average,,,,,,,,,,2.5,,1.9,,16.1,,-9999
