"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_yds","return_yds_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Baker Mayfield","TB","QB","13590","robust",3900,106.7472,28.8,5.9304,12,1.18608,58,4.4478,361,45.9606,1.5,0.7413,3.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-04-14,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","robust",3896.25,80.0604,28.15,2.37216,12.45,1.63086,72.125,0.7413,321.1,19.12554,5.45,1.4826,3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-10-06,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","robust",3866,63.7518,29,2.9652,9.4,1.18608,79,4.59605999999999,418.5,40.0302,2,0,2.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-11-18,NA,NA,NA,NA
"Tyler Shough","NO","QB","17039","robust",3891,163.086,24,2.9652,10.5,1.4826,70.5,7.413,313,25.2042,4,0,3.55,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1999-09-28,NA,NA,NA,NA
"Bo Nix","DEN","QB","16582","robust",3799.5,183.8424,28,1.4826,10.75,1.4826,81.5,3.11345999999999,361,7.413,3.8,1.4826,1.3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-02-25,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","robust",3890,81.543,27.5,2.9652,9.55,1.4826,47.5,3.85476,200,19.2738,1,0,1.55,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-11-02,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","robust",3831,209.0466,29,2.9652,11,1.4826,57.35,2.52042,333.5,34.0998,3.5,0,0.9,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,"Q","Knee - ACL",2026,0
"C.J. Stroud","HOU","QB","16150","robust",3852.5,69.6822,25,5.9304,11,0.7413,54,3.11346,233.5,11.8608,1,0,3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-10-03,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","robust",3654.7,83.4703800000003,28.3,3.40998,8.975,2.07564,119.525,5.48562,657.075,37.065,3.8,0.29652,3.95,0.148259999999999,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-01-07,NA,NA,NA,NA
"Jayden Daniels","WAS","QB","16581","robust",3712.7,84.9529800000003,24.55,1.63086,10.15,0.59304,131.025,1.4826,692.65,23.12856,4.775,0.44478,2.5,0.14826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-12-18,NA,NA,NA,NA
"Daniel Jones","IND","QB","14059","robust",3527,243.1464,21,9.48864,11,0,52,31.1346,197.5,139.3644,3.5,2.9652,3.65,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-05-27,NA,NA,NA,NA
"Geno Smith","NYJ","QB","11150","robust",3279,539.6664,22.5,2.9652,14,0,57,1.18608,203,47.4432,1,0,1.3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1990-10-10,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","robust",3563.95,222.53826,25.05,1.77912,7.4,0.59304,112.45,2.52042,473.5,34.24806,8.75,0.59304,3.875,0.37065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-08-07,NA,NA,NA,NA
"Jacoby Brissett","ARI","QB","12616","robust",3602,192.738,24,7.413,10,0,44.9,3.11346,199,47.4432,1.05,0,4.95,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-11,NA,NA,NA,NA
"Aaron Rodgers","PIT","QB","7836","robust",3584,143.8122,24,2.9652,9.35,1.4826,29.5,2.9652,93,19.2738,1,0,2.35,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Cam Ward","TEN","QB","17030","robust",3545.5,136.3992,24,7.413,10,0.7413,47,2.9652,196,65.2344,2,0,5.75,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-05-25,NA,NA,NA,NA
"Jaxson Dart","NYG","QB","17032","robust",3569,37.9545599999999,24.15,3.85476,10.05,1.63086,100.925,2.81694000000001,550.3,21.64596,7,0.7413,2.7875,0.333585,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-05-13,NA,NA,NA,NA
"Kyler Murray","MIN","QB","14056","robust",3502.5,206.0814,25.5,5.9304,11.8,2.66868,77.5,2.9652,467.5,34.0998,3.5,0,3.05,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-08-07,NA,NA,NA,NA
"Bryce Young","CAR","QB","16148","robust",3421.5,207.564,24.5,4.4478,11.2,1.77912,57.55,4.4478,270.5,2.9652,3,1.4826,2.65,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-07-25,NA,NA,NA,NA
"Malik Willis","MIA","QB","15694","robust",3426,35.5824,21.3,10.3782,10,1.4826,106,26.6868,545,166.0512,4,1.4826,3.95,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-05-25,NA,NA,NA,NA
"Tua Tagovailoa","ATL","QB","14778","robust",2171,662.7222,12.6,3.85476,6.5,4.4478,17.4,2.07564,50.5,10.3782,0,0,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-02,"Q","Back",2026,0
"Fernando Mendoza","LVR","QB","17462","robust",2843,511.497,17,3.40998,10,0,44,5.9304,180,31.1346,1,0,1.75,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-10-01,NA,NA,NA,NA
"Michael Penix Jr.","ATL","QB","16583","robust",1886,942.9336,11,5.9304,5,1.4826,21.5,19.2738,77,65.2344,0.9,1.18608,1.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-05-08,"Q","Knee - ACL",2026,0
"Deshaun Watson","CLE","QB","13113","robust",1660.5,732.4044,8,4.4478,7,2.9652,32.5,8.74734,161.5,83.0256,1,0,2.6,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-14,NA,NA,NA,NA
"Shedeur Sanders","CLE","QB","17031","robust",1798,458.1234,11,4.4478,7,1.4826,28.75,7.413,177,78.5778,1,0,1.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-02-07,NA,NA,NA,NA
"Kirk Cousins","LVR","QB","10700","robust",833,20.7564,5,1.4826,4,1.4826,6,2.9652,9,2.9652,0,0,0.9,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"J.J. McCarthy","MIN","QB","16584","robust",588.5,464.0538,3.5,2.9652,2.5,1.4826,10,8.8956,44,37.065,0.5,0,0.45,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2003-01-20,NA,NA,NA,NA
"Spencer Rattler","NO","QB","16586","robust",513.75,398.8194,4.175,1.4826,1.9,0,9.8,7.413,51.25,42.9954,0,0,1.4,2.07564,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-09-28,NA,NA,NA,NA
"Riley Leonard","IND","QB","17035","robust",370.5,339.5154,2.6,2.37216,1.375,0.7413,4.7,1.77912,23.75,8.8956,0.3,0.14826,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-09-13,NA,NA,NA,NA
"Dillon Gabriel","CLE","QB","17037","robust",456.5,587.8509,2.45,2.29803,0.6,0.59304,4.55,5.11497,21.5,28.9107,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2000-12-28,NA,NA,NA,NA
"Marcus Mariota","WAS","QB","12141","robust",597,177.912,4.2,1.4826,1.85,0.59304,11.5,11.8608,65.25,69.6822,0.7,0.14826,0.4,0.59304,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1993-10-30,NA,NA,NA,NA
"Justin Fields","KC","QB","15238","robust",237,131.9514,2.5,0,1,0,12.35,1.4826,56.5,8.8956,0.3,0,0.35,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-03-05,NA,NA,NA,NA
"Quinn Ewers","MIA","QB","17034","robust",316.75,165.3099,2.975,2.14977,1.875,1.11195,6.3,2.37216,17.75,5.1891,0,0,0.25,0.185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-03-15,NA,NA,NA,NA
"Joe Flacco","CIN","QB","9064","robust",391,243.1464,3.15,2.9652,1.45,0.44478,4.4,3.40998,11.75,10.3782,0,0,0.65,0.259455,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-01-16,NA,NA,NA,NA
"Jameis Winston","NYG","QB","12140","robust",323.5,197.1858,2,1.4826,1.65,0.44478,5,4.4478,15,8.8956,0,0,1.05,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
"Mason Rudolph","PIT","QB","13595","robust",344.25,203.1162,3.125,1.4826,0.85,0.59304,8.55,1.4826,23.75,1.4826,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-07-17,NA,NA,NA,NA
"Mac Jones","SF","QB","15241","robust",382,32.6172,3,0,1,0.7413,9,5.9304,18,19.2738,0,0,0.55,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-09-05,NA,NA,NA,NA
"Davis Mills","HOU","QB","15252","robust",239,60.0453,1.75,0.7413,1,0.7413,5,2.2239,18.25,11.1195,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-10-21,NA,NA,NA,NA
"Ty Simpson","LAR","QB","17463","robust",316.5,170.499,2.95,0.88956,1.375,0,4.5,2.9652,16.75,14.826,0,0,0.15,0.22239,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2002-12-21,NA,NA,NA,NA
"Carson Beck","ARI","QB","17466","robust",365.25,1.4826,2.5,0,1.5,0,5.75,0,21,7.413,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2001-11-19,NA,NA,NA,NA
"Tyrod Taylor","GB","QB","10413","robust",283.5,44.478,2.575,1.4826,2,1.4826,6.575,2.9652,30.75,16.3086,0.1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1989-08-03,NA,NA,NA,NA
"Joe Milton","DAL","QB","16585","robust",242.5,5.9304,2.075,0,1.475,1.4826,7.025,1.4826,37.5,1.4826,0,0,0.95,1.40847,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-03-06,NA,NA,NA,NA
"Gardner Minshew","ARI","QB","14067","robust",319.75,111.195,2.4,0.29652,0.975,1.33434,7.775,2.9652,16.25,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-05-16,NA,NA,NA,NA
"Kenny Pickett","CAR","QB","15692","robust",219,83.0256,1.925,0,1.3,0,5,1.4826,19.75,5.9304,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1998-06-06,NA,NA,NA,NA
"Anthony Richardson","IND","QB","16152","robust",318.75,5.9304,2.55,0,1.875,0.7413,13.375,2.9652,59,29.652,0.6,0.44478,0.25,0.37065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2002-05-22,NA,NA,NA,NA
"Andy Dalton","PHI","QB","10313","robust",199.25,41.5128,1.35,0,0.45,0.59304,6.575,1.4826,12.75,11.8608,0,0,0.5,0.7413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1987-10-29,NA,NA,NA,NA
"Tyler Huntley","BAL","QB","14789","robust",212.25,94.8864,1.825,0.44478,0.6,0.44478,10.5,5.9304,29.5,28.1694,0,0,0.15,0.22239,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-02-03,NA,NA,NA,NA
"Tanner McKee","PHI","QB","15702","robust",149.75,152.7078,1.075,1.03782,0.025,0,3.875,1.4826,7.25,7.413,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2000-04-27,NA,NA,NA,NA
"Jake Browning","TB","QB","14358","robust",257,31.1346,2.2,1.4826,1.425,0,6.2,1.4826,23.25,1.4826,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-04-11,NA,NA,NA,NA
"Carson Wentz","MIN","QB","12610","robust",209.5,52.6323,1.55,0.81543,0.85,0.22239,4,1.4826,16,7.413,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-30,NA,NA,NA,NA
"Trey Lance","LAC","QB","15240","robust",175,10.3782,0.95,1.18608,0.9,0,9.6,5.9304,31.75,16.3086,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,2000-05-09,NA,NA,NA,NA
"Cade Klubnik","NYJ","QB","17467","robust",163,45.9606,1.475,0,1.3,1.4826,4.025,0,22,0,0,0,0.9,1.33434,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-10-10,NA,NA,NA,NA
"Tyson Bagent","CHI","QB","16384","robust",144.25,62.2692,0.9,0,0.05,0,5.85,4.4478,7.25,4.4478,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2000-06-08,NA,NA,NA,NA
"Will Howard","PIT","QB","17036","robust",143.5,63.0105,1,0,0.5,0.7413,2,0,7.5,0.7413,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2001-09-24,NA,NA,NA,NA
"Kyle Allen","BUF","QB","13879","robust",93.5,126.021,0.75,0,0.25,0,2.2,0.29652,4.75,1.4826,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-03-08,NA,NA,NA,NA
"Mitchell Trubisky","TEN","QB","13115","robust",106.5,66.717,0.8,0,0.025,0,4.125,5.1891,9.5,8.8956,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1994-08-20,NA,NA,NA,NA
"Teddy Bridgewater","DET","QB","11640","robust",87,115.6428,0.65,0.51891,0.05,0.07413,3.7,1.92738,6.5,9.6369,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1992-11-10,NA,NA,NA,NA
"Joshua Dobbs","FA","QB","13119","robust",147.5,21.4977,1,0,0,0,5,0,12.5,3.7065,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-01-26,NA,NA,NA,NA
"Drew Lock","SEA","QB","14057","robust",114,66.717,1.15,0.22239,0.75,0.37065,9.8,7.11648,12,13.3434,0,0,0.1,0.14826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-11-10,NA,NA,NA,NA
"Shane Buechele","BUF","QB","15248","robust",76.5,108.9711,0.5,0.7413,0,0,2,2.9652,10,14.826,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-01-08,NA,NA,NA,NA
"Will Levis","TEN","QB","16149","robust",129.5,11.1195,1.15,0.22239,0.2,0.29652,3.3,1.03782,13,8.8956,0,0,0.15,0.22239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1999-06-27,NA,NA,NA,NA
"Brady Cook","NYJ","QB","17040","robust",63,84.5082,0.55,0.66717,0.55,0.66717,2.05,2.89107,10,14.826,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2001-10-12,NA,NA,NA,NA
"Nick Mullens","JAC","QB","13968","robust",70,45.9606,0.7,0.44478,0.05,0.07413,14.05,13.41753,3,1.4826,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-03-21,NA,NA,NA,NA
"Jalen Milroe","SEA","QB","17033","robust",45,66.717,0.5,0.7413,0,0,4.35,0.96369,12.5,2.2239,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-12-13,NA,NA,NA,NA
"Derrick Henry","BAL","RB","12626","robust",NA,NA,NA,NA,NA,NA,306.5,10.3782,1528,121.5732,13.4,0.59304,1.875,0.185325,0,NA,0,NA,16.9,2.66868,162.25,16.3086,0.525,0.44478,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-01-04,NA,NA,NA,NA
"Jonathan Taylor","IND","RB","14802","robust",NA,NA,NA,NA,NA,NA,327.525,13.3434,1509.4,52.7805599999999,13.475,1.33434,1.6875,0.0370649999999999,0,NA,0,NA,45.1,4.29954,338.2,63.45528,1.5,0.7413,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1999-01-19,NA,NA,NA,NA
"Bijan Robinson","ATL","RB","16161","robust",NA,NA,NA,NA,NA,NA,291.75,6.37517999999993,1439.925,38.1028200000001,10.025,1.63086,1.825,0.0741300000000001,0,NA,0,NA,77.5,4.4478,708,42.9954,3.4,0.29652,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2002-01-30,NA,NA,NA,NA
"James Cook","BUF","RB","15715","robust",NA,NA,NA,NA,NA,NA,287.075,0.444780000000017,1412.3,29.3554799999999,11,1.03782,2.65,0.22239,0,NA,0,NA,33.975,1.92738,282.675,9.93341999999998,1.95,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-09-25,NA,NA,NA,NA
"Jahmyr Gibbs","DET","RB","16162","robust",NA,NA,NA,NA,NA,NA,273.35,6.81996000000003,1379.55,49.5188400000001,13.85,0.296520000000002,1.05,0.0741300000000001,0,NA,0,NA,70.9,3.11345999999999,577.15,12.75036,4.075,0.148259999999999,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2002-03-20,"Q","Back",2026,0
"Saquon Barkley","PHI","RB","13604","robust",NA,NA,NA,NA,NA,NA,295.9,14.97426,1310.35,33.0619799999999,8.6,0.7413,1,0,0,NA,0,NA,41.5,1.4826,316.7,25.79724,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-02-09,NA,NA,NA,NA
"Ashton Jeanty","LVR","RB","17042","robust",NA,NA,NA,NA,NA,NA,284.9,10.3782,1114.625,43.7367,8,1.4826,0.925,0.22239,0,NA,0,NA,61.525,5.48562,418.8,14.52948,3.275,1.77912,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-12-02,NA,NA,NA,NA
"Devon Achane","MIA","RB","16167","robust",NA,NA,NA,NA,NA,NA,232.45,14.67774,1183.3,53.6701200000001,6.25,0.7413,0.9,0.29652,0,NA,0,NA,65.3,3.26171999999999,493.2,47.29494,4,0.148259999999999,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-10-13,NA,NA,NA,NA
