"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"Trevor Lawrence","JAC","QB","15237","weighted",3972.16780007573,268.091369137378,24.6384399848542,2.66827032140872,12.6876107535025,0.877157570072491,249.782786823173,17.4259409969748,3.21622870124953,0.77262792740229,3.90387163953048,0.126837767301143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"Geno Smith","LVR","QB","11150","weighted",3915.71316168118,307.729206026546,23.2276258992806,3.55969532715535,12.8865884134797,1.81210699166402,235.378909503976,30.5745480416076,1.69122302158273,0.461338319405803,2.00692919348732,0.566732526204098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-10,2013,NA,NA,NA,NA
"J.J. McCarthy","MIN","QB","16584","weighted",3983.15825066263,204.053488359931,28.0265808405907,2.67767364130396,13.772979931844,1.77144283265493,268.674123438092,54.6458885466645,2.03326770162817,0.864095696291895,3.74485043544112,0.343670968542477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-01-20,2024,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",3896.07084437713,188.279087421334,29.6597879591064,2.22143876817174,10.1866868610375,1.88656205913309,569.689057175312,48.6579658289596,11.3589473684211,1.19229651722784,2.58757099583491,0.538329836361561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-05-21,2018,NA,NA,NA,NA
"Caleb Williams","CHI","QB","16579","weighted",3777.35332828474,253.180526269391,26.0584475577433,4.40728538611981,9.96657326770163,1.39107545630854,478.784770920106,57.3503521134488,2.17441878076486,1.20662586051616,4.78199545626657,0.409821010528546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-11-18,2024,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",3945.8841499432,183.055401672079,26.6135327527452,2.50040287629367,7.93812192351382,1.78031209995158,281.65035971223,29.1659578052917,2.71150321847785,0.579542284560458,2.10558500567967,0.0682337157461454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","weighted",3869.4455357819,185.718192866249,33.6211283604695,3.41545892646515,7.8596819386596,1.54047891761752,844.44843619841,60.3008466807254,3.85080651268459,0.713107887097258,4.69824876940553,0.345071706931211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-01-07,2018,"Q","Foot",2025,0
"Michael Penix Jr.","ATL","QB","16583","weighted",3880.8563347217,205.116094375294,24.433775085195,2.54811811104906,13.4495797046573,1.92010524063884,176.784596743658,74.167635153894,2.20730026505112,0.705338562573528,2.60589738735328,0.286019349942876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-08,2024,NA,NA,NA,NA
"Jayden Daniels","WAS","QB","16581","weighted",3828.67608481636,164.759580252497,27.7257478227944,2.72715122215845,10.3466338508141,1.36065565136817,795.24803483529,111.696014252649,5.92926921620598,1.08797946513571,1.56950965543355,0.783215959340901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-18,2024,NA,NA,NA,NA
"Kyler Murray","ARI","QB","14056","weighted",3804.39747065506,172.230931439768,25.2828246876183,4.19719739049797,11.1183036728512,0.865779912100949,550.385740249905,32.2874219711716,4.83216963271488,0.682397628652983,3.38194812570996,0.334529480988077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","weighted",3861.9609693298,223.793390562461,28.260795153351,2.10022927894831,11.9922605073836,0.962977978857056,161.899886406664,36.667413660662,1.88624763347217,0.417048800963545,1.96032752745172,0.559265152289904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,"Q","Thumb",2025,0
"Sam Darnold","SEA","QB","13592","weighted",3768.48234759561,250.711190042416,24.078409693298,2.87892913045149,13.4201741764483,2.9320591858091,205.484324119652,32.5969718864214,1.77470655054903,0.801860076721575,2.85155244225672,0.831893315531076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-05,2018,NA,NA,NA,NA
"Aaron Rodgers","PIT","QB","7836","weighted",3769.07682695949,121.200721589313,25.4440363498675,4.56160739049464,10.3303824308974,1.73813870888616,96.3335857629686,62.4077371898456,0.94710336993563,0.910341506523179,2.85651268458917,0.431177996884208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-12-02,2005,NA,NA,NA,NA
"Bo Nix","DEN","QB","16582","weighted",3786.35703142749,159.066139519861,28.4396819386596,3.30528022691315,12.1591594093147,0.968100942142334,440.360416508898,32.9196819522756,3.48494509655434,0.801072964413737,1.40165656948126,0.834375484172218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-02-25,2024,NA,NA,NA,NA
"Bryce Young","CAR","QB","16148","weighted",3530.03168496781,276.579024757624,22.9325179856115,4.61884797291927,11.6608330177963,1.32770151333757,301.052116622491,17.820318146188,3.95145020825445,0.778933303539229,3.37906096175691,0.642028426854923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-25,2023,NA,NA,NA,NA
"Cam Ward","TEN","QB","17030","weighted",3499.32229458538,350.337197149472,21.8769632714881,1.72794711470029,12.9953729647861,1.83516136033884,318.786641423703,119.152040432584,2.32465732677016,1.30746844214107,3.98761832639152,0.0352260295704588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-25,2025,NA,NA,NA,NA
"Kirk Cousins","ATL","QB","10700","weighted",1365.08271081221,1759.92095548292,8.38252457320228,10.2907308291126,4.81135023279876,5.63570929816241,20.930160372478,18.7431036744396,0,0,0.714709432660804,0.147908431874467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-08-19,2012,NA,NA,NA,NA
"Russell Wilson","NYG","QB","10703","weighted",2900.47645588792,620.010722143077,18.1051798561151,6.27982750551371,8.4166755017039,2.16294963598832,213.96923892465,88.5702407717846,1.86602044680045,0.661199778609412,3.50185535781901,0.826801019439087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-11-29,2012,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","weighted",3451.58748201439,250.184192064847,23.4448239303294,2.28910945480742,8.16839076107535,1.5813631500637,646.892654297615,74.3362774299075,12.9491556228701,1.19576293383089,3.76038432411965,0.344181520637788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","weighted",3540.85271488073,152.569890043048,23.8533282847406,3.8557349128025,12.6890496024233,1.0184257492226,509.777160166604,96.2551341762838,3.09499432033321,0.909862461267164,5.1356683074593,0.700783001265703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-08-30,2024,NA,NA,NA,NA
"Tyler Shough","NO","QB","17039","weighted",2441.28669443393,761.058614523076,13.8154789852329,5.72908901113162,9.77313138962514,4.49303387990552,171.712517985612,61.8348032235824,1.32395304808785,0.686995187662997,2.16253313138963,0.933899166813355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-09-28,2025,NA,NA,NA,NA
"Daniel Jones","IND","QB","14059","weighted",2562.31768269595,882.652562047634,15.8713744793639,7.53164968744601,9.13841726618705,3.72048437317519,346.917334343052,145.475872823353,3.0974706550549,1.23161398946867,3.45371071563802,0.271312840139137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Justin Fields","NYJ","QB","15238","weighted",3228.66279439606,254.315323786467,21.290458159788,5.9422998768195,10.9455054903446,1.52175809639671,691.174396062098,195.417465199461,5.5030064369557,1.63748912281344,2.38634986747444,0.902320696758911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"Anthony Richardson","IND","QB","16152","weighted",1262.83078379402,1035.03253085404,8.27722832260507,7.57892772839673,5.16049981067777,3.723826393352,287.596796667929,238.660941410614,2.77649375236653,2.41779446650939,0.885810299129118,0.56210577527957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-22,2023,NA,NA,NA,NA
"Spencer Rattler","NO","QB","16586","weighted",1238.88347457627,973.393025365772,8.41915254237288,10.0812100329483,4.60483050847458,2.93961769354488,117.757203389831,81.0073014765055,0.333389830508475,0.591587991668703,2.94872881355932,0.580101044831248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-09-28,2024,NA,NA,NA,NA
"Jaxson Dart","NYG","QB","17032","weighted",685.202118644068,669.788649149283,4.11161016949153,4.1883600878986,2.76588983050847,2.58296841327465,50.7364406779661,63.3734671056554,0.613474576271187,0.750601874449579,0.526737288135593,0.309153707961256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-05-13,2025,NA,NA,NA,NA
"Shedeur Sanders","CLE","QB","17031","weighted",691.122680802726,535.36716451265,3.83657705414616,2.97725990773609,2.61245740249905,2.02231889767222,32.0931465354033,24.5329227089918,0.404198220371072,0.491564145690719,0.388650132525559,0.313193298026728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-02-07,2025,NA,NA,NA,NA
"Dillon Gabriel","CLE","QB","17037","weighted",684.715955581531,543.082282134794,3.4541203974284,2.42667635433956,2.21215663354763,1.29451811383704,37.8977206312098,32.8536058967078,0.44244469354577,0.527353349564408,0.556282875511397,0.35586761921802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-28,2025,NA,NA,NA,NA
"Deshaun Watson","CLE","QB","13113","weighted",988.041095890411,296.98484809835,8.07671232876712,7.21248916810278,6.87762557077626,6.92964645562817,74.7990867579909,62.2253967444162,0.248858447488584,0.353553390593274,2.39634703196347,1.13137084989848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-09-14,2017,"O","Achilles",2025,0
"Aidan O'Connell","LVR","QB","16159","weighted",499.419734904271,419.507689863297,3.96664212076583,3.64125019142215,2.04351988217968,1.91368896025471,12.0486008836524,14.7499301878733,0.12039764359352,0.247044279336937,2.42323269513991,0.765837265944506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-09-01,2023,"D","Wrist",2025,0
"Jameis Winston","NYG","QB","12140","weighted",410.646971935007,311.992944270715,2.7425898572132,2.18145650414019,1.77523387493845,1.60224592604321,17.193008370261,12.1895912739582,0.0564007877892664,0.118601616545322,0.115263417035943,0.0974028653112203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-01-06,2015,NA,NA,NA,NA
"Mason Rudolph","PIT","QB","13595","weighted",343.781624815362,328.865053841769,2.37806991629739,2.85912669986181,0.951984244214673,1.02073496779385,71.3255145248646,108.458904048906,0.431974396848843,0.953018363357492,0.38421139011981,0.324676217704068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-07-17,2018,NA,NA,NA,NA
"Will Levis","TEN","QB","16149","weighted",567.360730593607,197.989898732233,5.09041095890411,2.9698484809835,4.53835616438356,3.60624458405139,40.9634703196347,11.3137084989848,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-06-27,2023,"IR","Shoulder",2025,0
"Kenny Pickett","CLE","QB","15692","weighted",276.968052330473,205.946199800741,1.83589588377724,1.52410511873066,1.63186440677966,1.76987372827665,26.8532475180885,22.6369860655205,0.298435133770823,0.399858890777675,0.327019182231196,0.365707083012776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-06-06,2022,"Q","Hamstring",2025,0
"Gardner Minshew","KC","QB","14067","weighted",294.009988249119,236.960468163478,2.30329024676851,2.48415683945288,1.47502937720329,1.84241371178957,13.5052878965922,10.2835013991111,0,0,1.56989815902859,0.592734227284754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Jake Browning","CIN","QB","14358","weighted",273.111111111111,243.799307159519,2.62773998488284,2.26788659600452,0.793197278911565,1.04353138877388,17.2955404383976,17.7763932921897,0.222448979591837,0.448331968868381,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Cooper Rush","BAL","QB","13124","weighted",226.536855631141,191.909566513636,1.97594860166289,2.34656954349433,0.76042328042328,0.872243792038793,15.7513227513228,14.6586423984121,0,0,0.613429075333837,0.292637670708116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"Marcus Mariota","WAS","QB","12141","weighted",268.54347826087,191.799051590135,2.51639247943596,2.53350091153585,0.424441833137485,0.6027732570417,57.6727379553466,54.0463803998875,0.386016451233843,0.544547641110021,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-30,2015,"Q","Lower Leg",2025,0
"Tyrod Taylor","NYJ","QB","10413","weighted",225.335025423729,161.733847987888,1.91439830508475,2.79157336894353,1.04747457627119,1.14923536320126,34.6754237288136,33.9651164488074,0,0,0.482415254237288,0.288572783663681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-08-03,2011,"Q","Knee",2025,0
"Andy Dalton","CAR","QB","10313","weighted",197.107331821618,190.344853849193,1.87566137566138,1.7428278605769,1.05547996976568,0.816275679911523,9.38397581254724,7.04310895138539,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987-10-29,2011,"Q","Elbow",2025,0
"Drew Lock","SEA","QB","14057","weighted",196.261526832955,171.454861705886,1.67339380196523,1.56698056962144,1.25321239606954,0.949389789714859,14.8314436885865,10.2645606209992,0.0247165532879819,0.0498146632075979,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"Jimmy Garoppolo","LAR","QB","11760","weighted",226.331374853114,206.002924148034,1.67179788484136,1.44441575926853,0.637896592244418,0.517070623332113,2.79947121034078,3.8877025802699,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-11-02,2014,NA,NA,NA,NA
"Malik Willis","GB","QB","15694","weighted",240.346063454759,162.449492341433,1.88237367802585,1.37699306508494,0.386016451233843,0.544547641110021,35.8660399529965,29.5154423786534,0.222679200940071,0.465365922791456,0.866901684292989,0.79419966043518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-05-25,2022,NA,NA,NA,NA
"Joshua Dobbs","NE","QB","13119","weighted",233.286721504113,160.122981022259,1.68848413631022,1.24475769525838,1.31210340775558,0.986299965474456,18.9353701527615,12.625116836145,0.115276145710928,0.26440613441841,0.197023110066588,0.180499922826177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-01-26,2017,NA,NA,NA,NA
"Davis Mills","HOU","QB","15252","weighted",185.812970795569,201.832420993511,1.93681772406848,2.50529561904212,0.500443101711984,0.858039836830901,13.4803625377643,11.6151795894618,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
