"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Tyler Shough","NO","QB","17039","weighted",3892.26506729081,155.318830236352,24.8181392627267,4.7744999097241,10.7489174956115,1.99317375567559,319.818022235225,37.3167394125027,4.13569338794617,0.489974927299427,3.55447630193095,0.315341166702118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,1999-09-28,NA,NA,NA,NA
"Bo Nix","DEN","QB","16582","weighted",3793.75482738443,186.76279555028,29.2027501462844,4.6397869980904,10.7334698654184,0.989426282609794,359.808660035108,38.6911201793855,3.72393212404915,0.931237678077775,1.2970157987127,0.210227444468079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-02-25,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","weighted",3870.76243417203,118.773890696802,27.962960795787,3.16147965608761,9.63586892919836,1.08657942348589,199.637214745465,14.4092064436557,0.991808074897601,0.702351677445838,1.55447630193095,0.315341166702118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-11-02,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",3828.70801638385,146.158449382533,29.2800468110006,3.77460521627305,10.9136922176712,1.12404704998953,346.235810415448,53.4589226339671,3.43089526038619,0.603515137992647,0.900994733762434,0.0700758148226929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,"Q","Knee - ACL",2026,0
"C.J. Stroud","HOU","QB","16150","weighted",3844.59801053248,85.1933305255802,26.1662960795787,6.40832950493959,11.0728496196606,1.50608682177629,234.277940315974,17.3432392814849,1.36705675833821,0.89448847251485,3,4.96709974099017e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-10-03,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","weighted",3630.14686951434,202.833208081069,29.3067875950848,3.8163580394131,8.77840842598011,1.6617140570741,673.176711527209,58.1781315765081,4.21187829139848,1.35790021249009,3.78619075482738,0.321878652801789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-01-07,NA,NA,NA,NA
"Jayden Daniels","WAS","QB","16581","weighted",3672.60503218256,167.385360333893,25.6826214160328,3.84318566599565,9.73247513165594,1.51638664265644,713.015798712697,69.7840826093905,4.8182562902282,0.794278000615302,2.38022235225278,0.217714120347942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-12-18,NA,NA,NA,NA
"Daniel Jones","IND","QB","14059","weighted",3265.16325336454,908.365419148293,21.719602106495,7.68272377404205,9.87009947337624,3.24300130922989,206.565827969573,88.0739672949178,3.57401989467525,1.91808551645001,3.64353423054418,0.455492796347504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-05-27,NA,NA,NA,NA
"Geno Smith","NYJ","QB","11150","weighted",3284.24985371562,441.798849178693,23.6709186658865,4.66308698347839,13.9050906963136,1.61682939979208,202.021650087771,45.1816163488538,0.864306612053833,0.489974927299427,1.2970157987127,0.210227444468079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1990-10-10,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","weighted",3551.15857226448,199.258275998091,25.5428320655354,2.34502591975033,7.43423054417788,1.11461925776714,474.932124049152,26.8195696063721,8.88484493856056,0.916734224828605,3.65681685196021,0.373526048296584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-08-07,NA,NA,NA,NA
"Jacoby Brissett","ARI","QB","12616","weighted",3599.75073142188,163.960962840025,23.9429490930369,8.38549727859181,10.2100643651258,1.09219551749995,193.406670567583,56.4601287567035,1.22042129900527,0.439803506021643,4.96044470450556,0.735796055638275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-11,NA,NA,NA,NA
"Aaron Rodgers","PIT","QB","7836","weighted",3515.09011117613,288.196413702148,25.3534815681685,6.20860723916376,9.29543592744295,1.43698664973796,99.8262141603277,36.4786824381211,0.797366881217086,0.477977249950958,2.34651843183148,0.245265351879425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Cam Ward","TEN","QB","17030","weighted",3547.01755412522,242.735214086995,23.2453481568169,6.7154735525309,9.93300175541252,0.757119329884178,190.397308367466,39.9790784771139,1.979520187244,0.727135565140011,5.75248683440608,0.175189537056732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-05-25,NA,NA,NA,NA
"Jaxson Dart","NYG","QB","17032","weighted",3500.05792861322,208.638456087179,24.7308952603862,4.32104211567112,9.98847279110591,2.36717175292057,557.453481568169,42.4374660107408,7.3540081919251,1.14878410948038,2.58218256290228,0.340695933578368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-05-13,NA,NA,NA,NA
"Kyler Murray","MIN","QB","14056","weighted",3503.34698654184,165.65516857217,25.3602691632534,5.71596975481166,12.8008191925102,4.15367902125326,454.646576945582,52.7073119121537,3.50743124634289,0.736534157197698,3.05944997074312,0.665720240815582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-08-07,NA,NA,NA,NA
"Bryce Young","CAR","QB","16148","weighted",3404.88472791106,193.77439362827,25.2217086015214,5.27184487410831,11.6210649502633,2.07747596215529,264.936220011703,22.8508319749862,3.08355763604447,1.09299985628204,2.64353423054418,0.455492796347504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-07-25,NA,NA,NA,NA
"Malik Willis","MIA","QB","15694","weighted",3389.98127559977,170.061736732886,20.7730836746635,6.87831092398548,10.9863077823288,3.42172463377483,521.781743709772,221.313259267055,3.64698654183733,1.60978993682645,3.9703920421299,1.4365542038652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-05-25,NA,NA,NA,NA
"Tua Tagovailoa","ATL","QB","14778","weighted",2285.23346986542,784.86374524038,13.9808074897601,5.80052341662149,6.33516676418958,2.98689250182857,49.7911059098888,7.07325848424137,0,0,1.00994733762434,0.700758148226929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-02,"Q","Back",2026,0
"Fernando Mendoza","LVR","QB","17462","weighted",2833.51082504389,507.783650973011,17.2895845523698,3.20004984013291,10.0688706846109,3.4693995793038,183.01521357519,63.9530308724462,1.00117027501463,0.692967350804836,1.75248683440609,0.175189537056732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2003-10-01,NA,NA,NA,NA
"Michael Penix Jr.","ATL","QB","16583","weighted",1881.76418958455,898.920766787402,11.7998829724985,7.5434756719548,4.90321825629023,2.15645229360296,77.4605032182563,48.5927826904624,0.730017554125219,0.768934567348196,1.23756582796957,0.875947685283661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-05-08,"Q","Knee - ACL",2026,0
"Deshaun Watson","CLE","QB","13113","weighted",1695.51492100644,732.592984730467,11.0680514921006,9.4110344654028,6.87741369221767,3.47771375615878,166.159742539497,69.7369403341835,1,0,2.58408425980105,1.12121303716309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-14,NA,NA,NA,NA
"Shedeur Sanders","CLE","QB","17031","weighted",1762.1761263897,552.688095350074,11.0411936805149,3.09157417655219,8.57296664716208,4.27658105891094,173.88882387361,51.3314027052917,1.02908133411352,0.666818802350407,1.20795787009947,0.560606518581543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-02-07,NA,NA,NA,NA
"Kirk Cousins","LVR","QB","10700","weighted",928.163838502048,318.263896836049,6.82609713282621,4.74114684312983,4.39104739613809,1.60674856496009,19.2668227033353,26.0636494250657,0.133937975424225,0.307975759467023,0.900994733762434,0.0700758148226929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"J.J. McCarthy","MIN","QB","16584","weighted",577.036278525454,384.374661549401,4.07255705090696,3.81852313399444,2.3458162668227,1.51769308789031,42.7811585722645,28.2401438802882,0.556056173200702,0.847436487646334,0.445523698069046,0.315341166702118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2003-01-20,NA,NA,NA,NA
"Spencer Rattler","NO","QB","16586","weighted",535.173826173826,448.977056041756,4.82507492507493,5.88706168502362,2.17602397602398,2.06809941740206,52.3676323676324,39.9765091930516,0,0,1.37622377622378,1.40371186008607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-09-28,NA,NA,NA,NA
"Riley Leonard","IND","QB","17035","weighted",401.728764478765,460.949784236232,2.76911196911197,2.82640512896637,1.4792471042471,1.2996415406762,27.8108108108108,38.8403169785665,0.350096525096525,0.547170625187481,0.2,3.40340641165148e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2002-09-13,NA,NA,NA,NA
"Dillon Gabriel","CLE","QB","17037","weighted",458.310502283105,560.735677480932,2.45707762557078,2.1920310216783,0.601826484018265,0.565685424949238,21.5890410958904,27.5771644662754,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2000-12-28,NA,NA,NA,NA
"Marcus Mariota","WAS","QB","12141","weighted",579.587412587413,211.171579624683,4.24435564435564,1.41917188470515,1.78701298701299,0.72523828334168,68.2087912087912,72.8627824625878,0.623676323676324,0.555005660448064,0.393206793206793,0.401060531453164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1993-10-30,NA,NA,NA,NA
"Justin Fields","KC","QB","15238","weighted",317.852545348157,252.006644220587,2.19157401989468,1.68789620986402,0.845757753071972,0.469730669911326,51.713282621416,47.8061627875077,0.500994733762434,0.859324795623595,0.34651843183148,0.245265351879425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-03-05,NA,NA,NA,NA
"Quinn Ewers","MIA","QB","17034","weighted",356.223913043478,274.705980798019,2.91833333333333,1.79496051427088,1.83369565217391,1.02993574535827,17.5623188405797,5.10222296990209,0,0,0.246920289855072,0.201383012302038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025,2003-03-15,NA,NA,NA,NA
"Joe Flacco","CIN","QB","9064","weighted",388.658646616541,274.778631861246,3.12345864661654,2.49372031089151,1.64375939849624,0.942802397798852,11.7796992481203,9.13501119150716,0.0737593984962406,0.149173937280108,0.654473684210526,0.287033210533253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-01-16,NA,NA,NA,NA
"Jameis Winston","NYG","QB","12140","weighted",349.381509654769,233.268160961875,2.48636629607958,2.29386177094069,1.66360444704506,0.610430129086319,17.3194850789936,17.1059824109127,0.287009947337624,0.659948056000764,1.04950263311878,0.0350379074113465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
"Mason Rudolph","PIT","QB","13595","weighted",364.388611388611,295.325797344532,3.45304695304695,3.48916459645495,0.787012987012987,0.72523828334168,25.8171828171828,16.374198008203,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-07-17,NA,NA,NA,NA
"Mac Jones","SF","QB","15241","weighted",338.334113516676,252.05357417122,2.67167934464599,2.37839622041516,1.06699824458748,0.757119329884178,18.9654768870685,16.6017071399075,0.19133996489175,0.439965370667176,0.544528964306612,0.385416981524811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-09-05,NA,NA,NA,NA
"Davis Mills","HOU","QB","15252","weighted",293.3,172.453344608992,2.76746376811594,2.95823219809682,1.03507246376812,0.886917770562161,22.6934782608696,21.8426775159326,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-10-21,NA,NA,NA,NA
"Ty Simpson","LAR","QB","17463","weighted",312.379,153.918761051458,2.8168,1.5870693136573,1.4905,0.861935058110238,17.558,13.7370968304004,0,0,0.14745,0.150473787157102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2002-12-21,NA,NA,NA,NA
"Carson Beck","ARI","QB","17466","weighted",339.79752851711,191.228608302128,2.34600760456274,1.15012117127913,1.34600760456274,1.15012117127913,20.004752851711,11.3916239739955,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2001-11-19,NA,NA,NA,NA
"Tyrod Taylor","GB","QB","10413","weighted",293.15250965251,124.052128138404,2.6757722007722,2.24313661545237,1.94980694980695,1.01037311005367,33.0202702702703,34.5767522207437,0.126254826254826,0.227961131547017,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1989-08-03,NA,NA,NA,NA
"Joe Milton","DAL","QB","16585","weighted",257.413333333333,143.128553865759,2.33914285714286,2.44108889623151,1.57552380952381,1.98261892475581,41.292380952381,36.038478573379,0,0,0.934619047619048,0.930813212965447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-03-06,NA,NA,NA,NA
"Gardner Minshew","ARI","QB","14067","weighted",307.368631368631,140.936838964195,2.24735264735265,1.11001132089613,0.95034965034965,0.953372396392637,16.3296703296703,0.575815454577438,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-05-16,NA,NA,NA,NA
"Kenny Pickett","CAR","QB","15692","weighted",226.447619047619,127.342202993868,2.15228571428571,2.1004718409434,1.37371428571429,0.681234110576237,18.1095238095238,11.3277300690831,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1998-06-06,NA,NA,NA,NA
"Anthony Richardson","IND","QB","16152","weighted",311.095904095904,50.6447449850295,2.71868131868132,1.26383853285682,1.81968031968032,0.767697540320062,58.967032967033,22.0716315383455,0.558341658341658,0.516776653956938,0.245754245754246,0.250662832158227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2002-05-22,NA,NA,NA,NA
"Andy Dalton","PHI","QB","10313","weighted",208.817182817183,97.3822009249024,1.45734265734266,0.804260884545246,0.46033966033966,0.505075313907195,13.1428571428571,9.59611869681945,0,0,0.508491508491509,0.501325664316454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,1987-10-29,NA,NA,NA,NA
