"Row","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_yds","return_yds_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","birthdate","draft_year","injury_status","injury_details","season_year","week"
"11","Geno Smith","LVR","QB","11150","robust",3980.65,339.5154,22.5,0.889559999999999,12.625,1.85325,54.15,4.70868805541744,241.25,8.8956,1.85,0,2.1,0.37065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-10,2013,NA,NA,NA,NA
"12","Josh Allen","BUF","QB","13589","robust",3861.5,107.4885,29.575,2.44629,10,1.11195,111.625,10.22994,560.25,34.8411,11.4,1.4826,2.75625,0.2409225,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996-05-21,2018,NA,NA,NA,NA
"13","Caleb Williams","CHI","QB","16579","robust",3774.65,62.7139800000003,24.75,1.03782,10,0.96369,83.643730404345,7.49642530251805,477.5,47.4432,2,1.4826,4.75,0.185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-11-18,2024,NA,NA,NA,NA
"14","J.J. McCarthy","MIN","QB","16584","robust",3961.75,86.7321,27.025,1.55673,14,1.4826,62.8977197908675,5.9304,267.775,67.53243,2,1.11195,3.74375,0.0555975000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-01-20,2024,NA,NA,NA,NA
"15","Lamar Jackson","BAL","QB","13593","robust",3850.5,205.3401,33.675,3.33585,7.775,1.85325,138.5,4.67019000000001,849,25.2042,3.95,0.0741300000000001,4.575,0.0555975000000001,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-01-07,2018,NA,NA,NA,NA
"16","Justin Herbert","LAC","QB","14779","robust",3943,169.7577,26,1.4826,8,2.2239,64.6,1.77912,275,14.0847,2.625,0.29652,2.1375,0.0370649999999999,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"17","Michael Penix Jr.","ATL","QB","16583","robust",3875.75,255.7485,23.5,0.444780000000001,13.1,0.889559999999999,49.025,9.11799,175.6,33.06198,2.025,0.0741300000000001,2.675,0.1297275,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-08,2024,NA,NA,NA,NA
"18","Jayden Daniels","WAS","QB","16581","robust",3794.275,157.1556,27.5,2.2239,10.45,0.7413,146.2,7.413,814,51.1497,5.9,0.7413,1.675,0.5003775,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-18,2024,NA,NA,NA,NA
"19","Kyler Murray","ARI","QB","14056","robust",3820.75,122.3145,24.5,3.33585,11,0.889559999999999,88.1596515243187,4.91438171946089,554.25,39.2889,4.95,0.0741299999999997,3.475,0.2409225,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"20","Jordan Love","GB","QB","14782","robust",3910.55,148.11174,27.6,2.2239,11.8,0.889559999999999,40.2601289675781,3.92456888555997,157.125,11.8608,1.95,0,2,0.37065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"21","Sam Darnold","SEA","QB","13592","robust",3741.25,254.48829,23.25,1.4826,13.275,2.2239,57.925,7.52297098525561,194.8,13.78818,1.65,0.7413,2.9625,0.0370649999999999,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-06-05,2018,NA,NA,NA,NA
"22","Aaron Rodgers","PIT","QB","7836","robust",3783.75,123.7971,24.725,3.63237,10.5,1.11195,28.4847524750328,4.49301196103259,96.8,23.27682,1,1.40847,2.85,0.0370650000000002,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983-12-02,2005,NA,NA,NA,NA
"23","Bo Nix","DEN","QB","16582","robust",3763.25,180.8772,27.5,2.2239,12.075,0.963689999999999,90.8241293558291,7.29825964544869,438.675,40.25259,3.5,0.37065,1.475,0.3891825,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-02-25,2024,NA,NA,NA,NA
"24","Bryce Young","CAR","QB","16148","robust",3544.75,214.977,22.5,3.7065,11.5,1.11195,50.863516901126,2.78841506259314,295,2.9652,4,0.37065,3.40625,0.0926625,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-07-25,2023,NA,NA,NA,NA
"25","Cam Ward","TEN","QB","17030","robust",3466.85,216.75612,21.7,1.63086,13.225,1.4826,70.6239717239569,20.68227,297.875,92.29185,2,1.03782,3.98125,0.0185325000000003,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-25,2025,NA,NA,NA,NA
"26","Kirk Cousins","ATL","QB","10700","robust",1771.5,650.8614,10,5.85627,6,3.85476,6.75,6.00453,21.5,24.98181,0,0,0.666666666666667,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-08-19,2012,NA,NA,NA,NA
"27","Drake Maye","NE","QB","16580","robust",3524.25,156.4143,23,1.4826,12.95,0.963689999999999,79.725,6.6717,513,53.3736,3,0.29652,5.075,0.0741299999999997,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-08-30,2024,NA,NA,NA,NA
"28","Jalen Hurts","PHI","QB","14783","robust",3430.05,175.76223,22.925,1.26021,8,1.4826,150.7,4.15128000000002,652.25,63.7518,13,1.4826,3.80625,0.0926625,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2020,NA,NA,NA,NA
"29","Russell Wilson","NYG","QB","10703","robust",2778.725,481.02957,16.25,2.9652,8.025,2.89107,46.55,8.67399282618422,188.65,40.99389,2,0.14826,3.4,0.44478,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-11-29,2012,NA,NA,NA,NA
"30","Justin Fields","NYJ","QB","15238","robust",3275.25,174.72441,19.55,3.7065,10.6,1.4826,133.414095920642,27.160494536721,755.2,77.98476,6,1.4826,2.55,0.852495,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"31","Anthony Richardson","IND","QB","16152","robust",2361.6,730.1805,14,5.9304,11,2.9652,100.445539261894,21.4240716874874,531,147.5187,5.5,0.88956,3.775,0.1667925,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-22,2023,NA,NA,NA,NA
"32","Spencer Rattler","NO","QB","16586","robust",1425.6,688.96422,6.975,2.9652,5.175,1.4826,20.907400192,3.0612730493184,125.2,14.826,0.5,0.29652,2.1875,0.185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-09-28,2024,NA,NA,NA,NA
"33","Tyler Shough","NO","QB","17039","robust",2268.5,652.93704,13,1.4826,9.25,1.4826,46.0510978075114,3.85476,186.8,31.1346,1.475,0.59304,2.625,1.11195,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-09-28,2025,NA,NA,NA,NA
"34","Joe Flacco","CLE","QB","9064","robust",1932.25,387.03273,11.5,NA,7.55,NA,9.58822356077812,NA,24.4285714285714,25.9455,0.0928571428571429,0,3.13125,0.1297275,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-01-16,2008,NA,NA,NA,NA
"35","Daniel Jones","IND","QB","14059","robust",1416.175,731.73723,7.575,4.00302,4.5,1.4826,40.175,20.9274549076263,189.4,93.4038,1.5,0.51891,1.65,0.185325,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"36","Kenny Pickett","CLE","QB","15692","robust",998,896.37996,4.5,3.63237,3.5,3.18759,17,16.7386916104915,46.6,42.2541,0.9,0.7413,1.225,0.333585,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-06-06,2022,"Q","Hamstring",2025,0
"37","Jaxson Dart","NYG","QB","17032","robust",703.75,599.41518,4.225,2.9652,2.925,1.77912,11.0158429123619,10.3782,49.025,45.9606,0.7,0.44478,0.6,0.44478,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-05-13,2025,NA,NA,NA,NA
"38","Shedeur Sanders","CLE","QB","17031","robust",754.5,357.3066,4.075,2.2239,2.675,0.81543,11.0862554301528,7.413,39.75,22.9803,0.5,0.328037592980618,0.425,0.2038575,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-02-07,2025,NA,NA,NA,NA
"39","Deshaun Watson","CLE","QB","13113","robust",839.25,1008.168,6.3,3.7065,5.3,2.2239,12.6,8.8956,60.75,28.1694,0.175,0,2.3,3.40998,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-09-14,2017,"O","Achilles",2025,0
"40","Dillon Gabriel","CLE","QB","17037","robust",723.25,601.9356,4,3.55824,2.1,1.4826,8.95,5.04084,37.025,28.1694,0.331042851226452,0.184096524913351,0.45,0.51891,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-12-28,2025,"Q","Hamstring",2025,0
"41","Aidan O'Connell","LVR","QB","16159","robust",443.2,225.3552,3.55,1.4826,1.45,1.4826,4,2.9652,10.65,4.4478,0,0,0.766666666666667,0.69188,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-09-01,2023,NA,NA,NA,NA
"42","Jameis Winston","NYG","QB","12140","robust",454,171.38856,3,1.85325,2,1.26021,4.75,2.19402473504273,18,10.52646,0.0184615384615385,0,0.1,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-01-06,2015,NA,NA,NA,NA
"43","Mason Rudolph","PIT","QB","13595","robust",380.5,183.32349,1.95,1.55673,1,1.26021,9.4,9.6369,36.5,31.1346,0.15,0,0.333333333333333,0.2471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-07-17,2018,NA,NA,NA,NA
"44","Will Levis","TEN","QB","16149","robust",568,207.564,5.1,3.11346,4.55,3.78063,11.4,6.52344,41,11.8608,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-06-27,2023,"IR","Shoulder",2025,0
"45","Gardner Minshew","KC","QB","14067","robust",302,116.3841,2,1.33434,1.25,1.4826,4,1.4826,15,7.85778,0,0,1.43333333333333,0.64246,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"46","Jake Browning","CIN","QB","14358","robust",280.5,117.79257,2.75,1.40847,0.85,0.7413,3,0.96369,15.55,5.1891,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"47","Marcus Mariota","WAS","QB","12141","robust",292.65,180.8772,2.05,1.4826,0.5,0.44478,12,5.1891,60.5,23.27682,0.5,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-30,2015,"Q","Lower Leg",2025,0
"48","Cooper Rush","BAL","QB","13124","robust",167,24.53703,1,0.14826,0.85,0.7413,5.5,2.14977,18.6,11.1195,0,0,0.525,0.19768,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,NA,NA,NA,NA
"49","Tyrod Taylor","NYJ","QB","10413","robust",224.3,115.34628,1,0.14826,0.975,1.33434,5.725,1.63086,29.5,8.8956,0,0,0.475,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-08-03,2011,"Q","Knee",2025,0
"50","Andy Dalton","CAR","QB","10313","robust",184.25,52.48404,2.075,1.40847,1.075,0.29652,3.15,0.7413,11.25,2.52042,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987-10-29,2011,NA,NA,NA,NA
"51","Drew Lock","SEA","QB","14057","robust",152.3,109.7124,0.925,0.59304,0.925,0.66717,2.9,2.07564,11.375,7.78365,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"52","Jimmy Garoppolo","LAR","QB","11760","robust",206,150.92868,1.5,1.03782,0.5,0.7413,1.6,2.07564,6,8.74734,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-11-02,2014,NA,NA,NA,NA
"53","Joshua Dobbs","NE","QB","13119","robust",269,135.95442,2,1.33434,1.5,0.29652,4,1.4826,21,7.85778,0,0,0.166666666666667,0.2471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-01-26,2017,NA,NA,NA,NA
"54","Davis Mills","HOU","QB","15252","robust",207.75,28.1694,1.875,0.44478,0.575,0.59304,4.15,2.81694,16.65,5.9304,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"55","Malik Willis","GB","QB","15694","robust",270.5,149.89086,2.05,1.4826,0.5,0.44478,9,1.63086,35.5,14.52948,0.15,0,0.766666666666667,1.13666,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-05-25,2022,NA,NA,NA,NA
"56","Jacoby Brissett","ARI","QB","12616","robust",231,95.92422,1,0,0.75,0.59304,4,2.37216,18.45,5.9304,0,0,0.1,0.14826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-12-11,2016,NA,NA,NA,NA
"57","Mac Jones","SF","QB","15241","robust",236.5,29.652,1.55,0.14826,1,0.14826,3.5,1.92738,12.7,5.9304,0,0,0.0666666666666667,0.09884,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"58","Sam Howell","MIN","QB","15693","robust",200.25,51.52035,1.775,0.7413,1,0.22239,4.69915151515151,1.70499,18.4,6.96822,0.126,0.1245384,0.225,0.22239,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-09-16,2022,NA,NA,NA,NA
"59","Mitchell Trubisky","BUF","QB","13115","robust",153.75,18.16185,1,0.22239,0.3,0.29652,8.75,5.48562,19.125,9.26625,0,0,0.125,0.12355,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-20,2017,NA,NA,NA,NA
"60","Zach Wilson","MIA","QB","15239","robust",167.3,48.9258,1.175,0.14826,0.575,0.44478,3.8,1.18608,11.65,6.07866,0,0,0.075,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"61","Joe Milton","DAL","QB","16585","robust",169.525,37.065,1.4,0.7413,0.3,0.29652,3.75,1.33434,12.925,4.4478,0,0,0.025,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-03-06,2024,"Q","Elbow",2025,0
"62","Nick Mullens","JAC","QB","13968","robust",185.875,22.9803,1.25,0.44478,1.125,0.44478,4.325,2.81694,12.925,5.9304,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2017,NA,NA,NA,NA
"63","Case Keenum","CHI","QB","10948","robust",165.475,81.69126,1.15,0.59304,0.3,0.14826,2.025,1.33434,4.35,2.37216,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-02-12,2012,NA,NA,NA,NA
"64","Tyler Huntley","CLE","QB","14789","robust",147,148.26,1,1.4826,0.5,0.7413,5.5,8.1543,25.75,32.98785,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,NA,NA,NA,NA
"65","Tanner McKee","PHI","QB","15702","robust",157.45,7.70952,2.2,0.44478,0.375,0.44478,9.025,4.29954,16,1.4826,0.1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-04-27,2023,NA,NA,NA,NA
"66","Taylor Heinicke","LAC","QB","12476","robust",162.675,53.3736,1.075,1.18608,0.55,0.44478,3.225,3.85476,17.275,17.64294,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Jalen Milroe","SEA","QB","17033","robust",149.625,60.91015,1,NA,1,NA,14.6713084374069,NA,79.65,60.7866,0.875867921968458,0.368076437779127,0.3125,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-12-13,2025,NA,NA,NA,NA
"68","Hendon Hooker","DET","QB","16151","robust",140.3,58.41444,0.95,0.14826,0.25,0.14826,5.275,3.55824,8.7,2.37216,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-01-13,2023,NA,NA,NA,NA
"69","Tyson Bagent","CHI","QB","16384","robust",141.925,22.239,1.125,0.44478,0.45,0.44478,6.85,3.7065,14.15,9.93342,0.25,0,0.275,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-06-08,2023,NA,NA,NA,NA
"70","Jarrett Stidham","DEN","QB","14063","robust",107.85,21.94248,0.725,0.29652,0.15,0.14826,5.325,2.66868,11.35,6.22692,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2019,NA,NA,NA,NA
"71","Brandon Allen","TEN","QB","12621","robust",132.35,12.82449,0.85,0.22239,0.85,0.22239,3.05,1.40847,8.8,3.26172,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-09-05,2016,NA,NA,NA,NA
"72","Trey Lance","LAC","QB","15240","robust",89.9,46.99842,0.075,0,0.075,0,2.125,2.2239,12.25,1.4826,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
"73","Jake Haener","NO","QB","16156","robust",69.25,97.1103,0.525,0.59304,0.5,0.7413,6.45,3.7065,11.5,17.0499,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-16,2023,NA,NA,NA,NA
"74","Dorian Thompson-Robinson","PHI","QB","16158","robust",74.5,86.7321,0.2,0.29652,0.65,0.51891,3.15,2.74281,13.5,14.0847,0,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-11-14,2023,NA,NA,NA,NA
"75","Josh Johnson","WAS","QB","9207","robust",96.75,47.81385,0.75,0.37065,0,0,3.75,1.85325,6,2.9652,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-15,2008,NA,NA,NA,NA
"76","Quinn Ewers","MIA","QB","17034","robust",117.35,12.82449,0.85,0.22239,0.15,0.22239,1.5,0.7413,8.35,0.96369,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2003-05-13,2025,NA,NA,NA,NA
"77","Cam Miller","LVR","QB","17240","robust",93,45.9606,0.75,0.37065,0,0,1.5,0.7413,5.25,2.59455,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-18,2025,NA,NA,NA,NA
"78","Kyle Trask","TB","QB","15242","robust",65.1,81.69126,0.45,0.37065,0.35,0.37065,6.4,9.04386,2.25,3.33585,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-01-01,2021,NA,NA,NA,NA
